experiment,bw_gbps,epsilon_abs,epsilon_norm,token_ref,object_id,object_type,n_tokens,p_reuse,q_star_offline,q_star_pred,offline_cost,predicted_cost
H5,0.5,25.944,0.004,6486,rag_026,rag,146,0.429157,sparse_k,int4,9.774379,7.017524
H5,0.5,25.944,0.004,6486,session_004,session,112,0.497442,sparse_k,int4,7.738631,5.364225
H5,0.5,25.944,0.004,6486,rag_011,rag,79,0.692923,sparse_k,sparse_k,6.30377,3.941506
H5,0.5,25.944,0.004,6486,session_014,session,91,0.575879,sparse_k,sparse_k,6.670175,4.470421
H5,0.5,25.944,0.004,6486,rag_046,rag,107,0.457654,sparse_k,int4,7.303296,5.157845
H5,0.5,25.944,0.004,6486,prefix_000,prefix,82,0.58405,sparse_k,sparse_k,6.154662,4.064193
H5,0.5,25.944,0.004,6486,session_019,session,215,0.221585,sparse_k,int4,14.191853,11.712237
H5,0.5,25.944,0.004,6486,rag_025,rag,73,0.632115,sparse_k,sparse_k,5.770073,3.715214
H5,0.5,25.944,0.004,6486,rag_032,rag,64,0.720007,sparse_k,sparse_k,5.516203,3.423485
H5,0.5,25.944,0.004,6486,rag_040,rag,75,0.593958,sparse_k,sparse_k,5.772138,3.787818
H5,0.5,25.944,0.004,6486,rag_003,rag,90,0.487431,sparse_k,sparse_k,6.344273,4.422458
H5,0.5,25.944,0.004,6486,rag_010,rag,95,0.454946,sparse_k,sparse_k,6.550994,4.669343
H5,0.5,25.944,0.004,6486,prefix_007,prefix,48,0.863395,sparse_k,sparse_k,5.054038,3.04621
H5,0.5,25.944,0.004,6486,prefix_005,prefix,55,0.728291,sparse_k,sparse_k,5.034748,3.189004
H5,0.5,25.944,0.004,6486,rag_009,rag,103,0.382828,sparse_k,int4,6.82854,4.999527
H5,0.5,25.944,0.004,6486,rag_051,rag,56,0.550384,sparse_k,sparse_k,4.556729,3.21223
H5,0.5,25.944,0.004,6486,longtail_086,longtail,74,0.367763,sparse_k,sparse_k,5.035214,3.751163
H5,0.5,25.944,0.004,6486,rag_007,rag,50,0.538277,sparse_k,sparse_k,4.188282,3.083475
H5,0.5,25.944,0.004,6486,rag_017,rag,61,0.345607,sparse_k,sparse_k,4.222984,3.338964
